scan_utc,scan_start,scan_end,ticker,alias,award_group,date_type,error
2026-08-20T15:14:39.321223+00:00,2026-08-18,2026-08-20,SPR,SPIRIT AEROSYSTEMS INC,idvs,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-20T15:14:39.321228+00:00,2026-08-18,2026-08-20,TXT,TEXTRON,contracts,action_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-20T15:14:39.321234+00:00,2026-08-18,2026-08-20,TXT,TEXTRON,contracts,last_modified_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-21T15:12:34.357346+00:00,2026-08-19,2026-08-21,SPR,SPIRIT AEROSYSTEMS INC,contracts,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-21T15:12:34.357381+00:00,2026-08-19,2026-08-21,SPR,SPIRIT AEROSYSTEMS INC,idvs,action_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-21T15:12:34.357388+00:00,2026-08-19,2026-08-21,SPR,SPIRIT AEROSYSTEMS INC,idvs,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-21T15:12:34.357393+00:00,2026-08-19,2026-08-21,TXT,TEXTRON,contracts,action_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-21T15:12:34.357397+00:00,2026-08-19,2026-08-21,TXT,TEXTRON,contracts,last_modified_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-24T15:30:24.105131+00:00,2026-08-20,2026-08-24,SPR,SPIRIT AEROSYSTEMS INC,contracts,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-24T15:30:24.105174+00:00,2026-08-20,2026-08-24,SPR,SPIRIT AEROSYSTEMS INC,idvs,action_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-24T15:30:24.105181+00:00,2026-08-20,2026-08-24,SPR,SPIRIT AEROSYSTEMS INC,idvs,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-24T15:30:24.105186+00:00,2026-08-20,2026-08-24,TXT,TEXTRON,contracts,action_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-24T15:30:24.105227+00:00,2026-08-20,2026-08-24,TXT,TEXTRON,contracts,last_modified_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-25T15:36:42.461597+00:00,2026-08-23,2026-08-25,SPR,SPIRIT AEROSYSTEMS INC,contracts,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-25T15:36:42.461646+00:00,2026-08-23,2026-08-25,SPR,SPIRIT AEROSYSTEMS INC,idvs,action_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
