scan_utc,ticker,company,award_date,transaction_amount_abs_sum,same_day_award_count,md11_score,md11_threshold,md14_score,md14_threshold,md14_primary_pass,md11_secondary_pass,market_cap_before,log10_market_cap_before,sector_group,prior_response_count_60d_adj,prior_abs_award_median_adj,market_cap_available,model_version,scanner_version,projected_peak_pct_90d,projection_model,signal,previously_seen,current_price_for_log,prior_response_count_60d,pre_volatility_market_20d,relative_strength_spy_120d,prior_abs_award_max,prior_signed_award_mean,prior_abs_award_median,prior_response_mean_20d,prior_transactions_30d,relative_strength_spy_60d,prior_award_days_30d,distance_from_52w_high_pct,volatility_regime_ratio_20d_60d,current_agency_count,volatility_expansion_flag,prior_abs_award_mean,positive_negative_balance_30d,volume_high_regime_flag,same_agency_fraction,prior_response_median_5d
2026-08-21T15:12:50.908981+00:00,PSN,"AMENTUM SERVICES, INC.",2026-08-19,42287.7,4,2.4845355341034963,2.1954452583448045,1.6673529130972014,1.8729299828283767,0,1,4961110632.786049,9.695578911912776,OTHER,0.478771406540561,-0.5880479800362668,1,RECON_MD14_PRIMARY_MD11_SECONDARY_V1,RECON_LIVE_V4.7_MD14_MD11_STRICT_AWARD_RECIPIENT_MATCH,87.5272627174723,C616_OLS_MD11_LNMCAP_PREVOL_R2_0.38,PASS,0,47.84000015258789,134,8.707443419133368,-40.04337920843276,108790458.0,8081246.99411043,2903091.02,-1.7244206164751494,26,-13.941354963411436,10,-47.9784967110893,1.5816134159348276,3,1.0,8540675.928588957,0.9993998369394408,1.0,0.0061349693251533,0.0555100597883495
2026-08-21T15:12:50.915681+00:00,SATL,SATELLITE SERVICES INC,2026-08-19,0.0,1,3.642176089917486,2.1954452583448045,2.313425185197588,1.8729299828283767,1,1,882467053.9517269,8.945698500400875,AERO_DEFENSE,-0.1938200260161127,-1.5192080431259,1,RECON_MD14_PRIMARY_MD11_SECONDARY_V1,RECON_LIVE_V4.7_MD14_MD11_STRICT_AWARD_RECIPIENT_MATCH,83.84215011726293,C616_OLS_MD11_LNMCAP_PREVOL_R2_0.38,BUY,0,5.710000038146973,32,5.586269604297439,67.50861860659924,8753782.24,1382362.17675,572335.23,17.18089293667942,6,-44.0522969417043,5,-46.554935815230834,0.7803240158990925,1,0.0,1431679.8442499998,1.0,0.0,0.225,1.3407672148258776
2026-08-21T15:12:50.922067+00:00,VSEC,"VSE AVIATION, INC.",2026-08-19,62502.2,1,2.925012802217193,2.1954452583448045,2.581119777401822,1.8729299828283767,1,1,6610142820.901001,9.82021084309519,AERO_DEFENSE,-0.4948500216800939,-1.2218773548123032,1,RECON_MD14_PRIMARY_MD11_SECONDARY_V1,RECON_LIVE_V4.7_MD14_MD11_STRICT_AWARD_RECIPIENT_MATCH,56.45226811971577,C616_OLS_MD11_LNMCAP_PREVOL_R2_0.38,BUY,0,213.52999877929688,16,3.978751651771538,-3.924408326702799,7889242.2,1773626.9288888888,1134961.6,2.487520985285938,0,32.01818700028829,0,-3.2651540527947387,1.0891920273494695,1,1.0,1915249.8666666667,,0.0,0.0,-0.570567063462174
2026-08-21T15:12:50.928857+00:00,WWD,"WOODWARD, INC.",2026-08-19,6000.0,1,2.2517379977688123,2.1954452583448045,2.2377194352233043,1.8729299828283767,1,1,21603356957.66236,10.334521241656038,AERO_DEFENSE,-0.1426675035687314,-1.2695375698590323,1,RECON_MD14_PRIMARY_MD11_SECONDARY_V1,RECON_LIVE_V4.7_MD14_MD11_STRICT_AWARD_RECIPIENT_MATCH,35.59587361144412,C616_OLS_MD11_LNMCAP_PREVOL_R2_0.38,BUY,0,342.5350036621094,36,2.6763280410651578,-18.18060366082648,14399300.0,1763747.298918919,1017000.0,4.669857483319457,1,-0.6612964933655929,1,-16.093849117811242,1.0804169202285636,1,1.0,1821807.911891892,1.0,0.0,0.0,-0.4699553766414621
2026-08-24T15:30:41.118879+00:00,ACN,ACCENTURE FEDERAL SERVICES LLC,2026-08-20,10019845.46,8,0.8545114705097787,2.1954452583448045,1.5088711434420177,1.8729299828283772,0,0,112089434985.03052,11.049564679999678,TECH_SERVICES,0.6119328938769812,-0.0840686703846156,1,RECON_MD14_PRIMARY_MD11_SECONDARY_V1,RECON_LIVE_V4.7_MD14_MD11_STRICT_AWARD_RECIPIENT_MATCH,19.57849180850384,C616_OLS_MD11_LNMCAP_PREVOL_R2_0.38,PASS,0,186.9850006103516,180,3.265224347320216,-22.01822131395272,186403763.58,13415836.182459014,6031010.82,-3.0701293462831827,73,0.0147294334470693,18,-35.21020282748852,0.8330056100536753,8,0.0,14321304.053114755,0.9743667423537572,0.0,0.0860655737704918,0.0375648487486723
2026-08-24T15:30:41.125917+00:00,IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2026-08-20,0.0,1,2.0859637025492948,2.1954452583448045,1.5309438104995596,1.8729299828283772,0,0,223436595382.5992,11.349154305176768,TECH_SERVICES,0.5058795014290549,-0.4962628440782577,1,RECON_MD14_PRIMARY_MD11_SECONDARY_V1,RECON_LIVE_V4.7_MD14_MD11_STRICT_AWARD_RECIPIENT_MATCH,17.676984499973663,C616_OLS_MD11_LNMCAP_PREVOL_R2_0.38,PASS,0,234.25999450683597,141,1.937463777358896,-12.73873413743134,138489915.85,6138665.545944444,2334511.0500000003,0.2383188410976813,18,-9.307492666176351,13,-27.44851242665388,0.4244543666399659,1,0.0,6617009.771166666,0.9116250720036556,0.0,0.1333333333333333,0.4088181611272556
2026-08-24T15:30:41.132822+00:00,HON,HONEYWELL INTERNATIONAL INC.,2026-08-20,3835254.49,2,1.802941606637053,2.1954452583448045,2.000848510546486,1.8729299828283772,1,0,70275107063.18619,10.84680151592182,INDUSTRIAL,0.6416639947426803,-0.0453904004521961,1,RECON_MD14_PRIMARY_MD11_SECONDARY_V1,RECON_LIVE_V4.7_MD14_MD11_STRICT_AWARD_RECIPIENT_MATCH,23.60768585875271,C616_OLS_MD11_LNMCAP_PREVOL_R2_0.38,PASS,0,214.27999877929688,127,2.3415606212725724,-23.207797853580317,1028199720.31,24622341.00892857,2156872.05,0.8202521472859549,10,-10.367891028287248,5,-14.03834411337076,0.9962054356489196,2,0.0,25944261.85464286,1.0,0.0,0.0071428571428571,0.1018457214367996
2026-08-24T15:30:41.139476+00:00,HII,HII MISSION TECHNOLOGIES CORP,2026-08-20,4000.0,1,3.244373905586825,2.1954452583448045,1.9285975771285533,1.8729299828283772,1,1,12284777857.290527,10.089367307643515,AERO_DEFENSE,0.5289167002776547,-0.7377423853896738,1,RECON_MD14_PRIMARY_MD11_SECONDARY_V1,RECON_LIVE_V4.7_MD14_MD11_STRICT_AWARD_RECIPIENT_MATCH,55.67804679505997,C616_OLS_MD11_LNMCAP_PREVOL_R2_0.38,BUY,0,293.42498779296875,169,3.8928682923153177,-41.26455834542547,1326310410.0,40217202.04106509,3460319.0,1.558682146510333,0,-5.75311529782846,0,-30.99277237120224,1.418920807691267,1,1.0,41938742.14733728,,1.0,0.0,0.8699964908447821
2026-08-24T15:30:41.146323+00:00,SATL,SATELLITE SERVICES INC,2026-08-20,203248.86,7,3.382681089972258,2.1954452583448045,2.3111021830515117,1.8729299828283772,1,1,850181740.085917,8.929511773102185,AERO_DEFENSE,-0.1938200260161127,-1.5198487778187824,1,RECON_MD14_PRIMARY_MD11_SECONDARY_V1,RECON_LIVE_V4.7_MD14_MD11_STRICT_AWARD_RECIPIENT_MATCH,81.71449817929171,C616_OLS_MD11_LNMCAP_PREVOL_R2_0.38,BUY,0,5.425000190734863,32,5.583030412752599,61.19014942732271,8753782.24,1348646.026097561,571491.46,17.18089293667942,7,-51.28599533637651,6,-48.51023903483185,0.7941713959624449,1,0.0,1396760.8236585364,1.0,0.0,0.2439024390243902,1.3407672148258776
2026-08-24T15:30:41.153116+00:00,GE,GE AVIATION SYSTEMS LLC,2026-08-20,73415.46,5,1.7108856528872092,2.1954452583448045,1.6794263079704674,1.8729299828283772,0,0,369610905404.9922,11.567744776637191,INDUSTRIAL,0.6870793864421032,0.050359503027014,1,RECON_MD14_PRIMARY_MD11_SECONDARY_V1,RECON_LIVE_V4.7_MD14_MD11_STRICT_AWARD_RECIPIENT_MATCH,12.751230447936738,C616_OLS_MD11_LNMCAP_PREVOL_R2_0.38,PASS,0,341.2200012207031,141,2.048855884127192,-7.366049652114515,497571308.76,15550393.148013704,2688897.74,2.2849911342164493,6,14.369759845117214,4,-6.555267340211602,1.0310641761031678,1,1.0,17784553.144178085,1.0,0.0,0.0342465753424657,0.6987779576575037
