ticker,award_date,company,MTS_signal_score,stage2_v2_pred_peak,stage2_rank_high_to_low,peak_pct,hit_5p0,hit_7p5,hit_10p0,hit_12p5,hit_15p0,hit_20p0,log_market_cap_preaward,award_to_market_cap,award_to_adv60
AVAV,2026-03-06,"AEROVIRONMENT, INC",2.7996329494203374,29.511625289916992,38,0.0,0,0,0,0,0,0,23.12234653902897,0.0,0.0
AVAV,2026-03-04,"AEROVIRONMENT, INC",2.595028863413024,29.23857307434082,39,1.4659163665001085,0,0,0,0,0,0,23.156837350285617,0.0008880281140441205,0.021821372841241714
BAH,2025-11-04,BOOZ ALLEN HAMILTON INC,2.3459939543736974,28.497278213500977,40,20.409655320518926,1,1,1,1,1,1,23.040649066881343,0.0,0.0
KTOS,2025-12-03,"KRATOS UNMANNED AERIAL SYSTEMS, INC",2.570500953036555,27.424152374267578,41,79.60978759714952,1,1,1,1,1,1,23.206582597288204,0.0,0.0
CAT,2025-12-15,CATERPILLAR INC,2.5195299187626223,26.907995223999023,42,42.22532025661554,1,1,1,1,1,1,26.352316155845717,7.035633741560276e-06,0.0012796608376158655
ACN,2025-08-12,ACCENTURE FEDERAL SERVICES LLC,2.879190108713973,26.784578323364258,43,15.466426018400314,1,1,1,1,1,0,25.704254445161197,1.0705735349648764e-05,0.001451411381230603
ETN,2026-03-18,EATON CORPORATION,2.402858133706706,26.30168914794922,44,21.202719375122303,1,1,1,1,1,1,25.668057617757498,2.1361191339101268e-10,2.9419971044699324e-08
AVAV,2025-08-26,"AEROVIRONMENT, INC.",3.2800269682602208,26.064651489257812,45,66.66530977824678,1,1,1,1,1,1,23.21159576439741,0.0,0.0
ETN,2025-12-09,EATON CORPORATION,2.3922654044091116,25.91699981689453,46,20.253254827236255,1,1,1,1,1,1,25.610397284113795,0.0,0.0
CACI,2025-08-13,"CACI NSS, LLC",2.5900856300127137,25.24631690979004,47,22.637423732549976,1,1,1,1,1,1,23.0742515443049,0.0,0.0
CAT,2025-12-18,CATERPILLAR INC,2.2716570850404727,24.888578414916992,48,57.97874401294256,1,1,1,1,1,1,26.290215415800013,0.0,0.0
WWD,2025-09-29,"WOODWARD, INC.",2.802259179344861,24.86009979248047,49,58.129626684843046,1,1,1,1,1,1,23.424312093691874,0.0,0.0
ETN,2026-01-12,"EATON AEROSPACE, LLC",2.447251763677923,24.260242462158203,50,31.984261425137884,1,1,1,1,1,1,25.553846864867904,0.0,0.0
RKLB,2026-01-16,ROCKET LAB USA INC,3.584608636219891,24.25895881652832,51,56.002067462859586,1,1,1,1,1,1,24.604417795954827,2.0627049974274648e-07,6.982586984686845e-06
ETN,2025-12-01,"EATON AEROSPACE, LLC",2.3363840068546122,23.897464752197266,52,19.106814209017962,1,1,1,1,1,0,25.617651225434525,0.0,0.0
VSEC,2025-08-13,VSE CORPORATION,3.0920771293998666,23.880210876464844,53,11.228743407506236,1,1,1,0,0,0,21.947863287968055,5.669749204774288e-06,0.0006368540266422853
HON,2025-10-09,HONEYWELL INTERNATIONAL INC.,2.2462509927943723,22.911691665649414,54,27.175307020654337,1,1,1,1,1,1,25.587364795776903,0.0,0.0
KTOS,2025-10-30,"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.",2.855759280617993,22.80941390991211,55,48.040766367902,1,1,1,1,1,1,23.4573570868114,1.0872709768603613e-05,0.0004765014054112328
WWD,2025-10-01,WOODWARD HRT INC,2.795662149808711,22.587522506713867,56,54.83535917061681,1,1,1,1,1,1,23.438740441882207,0.0,0.0
PSN,2025-12-19,PARSONS GOVERNMENT SERVICES INC.,2.2044141166197986,22.540870666503906,57,18.49136867270973,1,1,1,1,1,0,22.589880215504078,0.0,0.0
AVAV,2026-03-12,"AEROVIRONMENT, INC",2.6310551489927247,22.519548416137695,58,5.016985736762991,1,0,0,0,0,0,23.062415922361772,0.0,0.0
CAT,2025-09-16,CATERPILLAR INC,2.525191638349519,22.516456604003906,59,47.90986714324006,1,1,1,1,1,1,26.03354519423684,0.0,0.0
CAT,2025-09-17,CATERPILLAR INC,2.5129789218543452,22.516456604003906,59,44.631066206552084,1,1,1,1,1,1,26.04433662582616,0.0,0.0
IBM,2025-08-21,INTERNATIONAL BUSINESS MACHINES CORPORATION,2.1965960628368384,22.40001678466797,61,32.29603959094622,1,1,1,1,1,1,26.11787032271799,6.311154099355031e-06,0.0011490800047735384
AVAV,2026-04-01,"AEROVIRONMENT, INC",2.4242185702430192,22.2239933013916,62,16.833787133323398,1,1,1,1,1,0,22.949321702865532,0.0,0.0
GE,2025-09-05,GENERAL ELECTRIC COMPANY,2.2506958003931823,22.22346305847168,63,17.57879154767499,1,1,1,1,1,0,26.419748218140835,5.1430816016514655e-05,0.009811596401602889
KTOS,2026-01-23,"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.",2.3139334401888414,22.10570526123047,64,6.948091504079268,1,0,0,0,0,0,23.67934805129611,0.00030856722968526873,0.021379058241544385
BA,2025-11-07,THE BOEING COMPANY,2.3772175029395077,22.100549697875977,65,29.56682241697304,1,1,1,1,1,1,25.72961703045444,0.0,0.0
BA,2025-12-02,THE BOEING COMPANY,2.493605425861707,22.064590454101562,66,22.77241596150428,1,1,1,1,1,1,25.67717137402068,0.0,0.0
HON,2025-12-11,HONEYWELL INTERNATIONAL INC.,2.292797254707512,22.017776489257812,67,28.589866686082054,1,1,1,1,1,1,25.62353776980975,0.0,0.0
CAT,2025-11-20,CATERPILLAR INC,2.197017727506101,21.990915298461914,68,42.239617552114495,1,1,1,1,1,1,26.278377711787186,0.0,0.0
VSEC,2025-09-18,VSE CORPORATION,2.9461316074041273,21.98015022277832,69,25.471698363834427,1,1,1,1,1,1,21.95625769490939,3.4554739043575525e-05,0.0033473421239933548
BA,2025-11-17,THE BOEING COMPANY,2.3447428154252328,21.919878005981445,70,31.458212348633218,1,1,1,1,1,1,25.719489606644828,0.0,0.0
BA,2025-12-05,THE BOEING COMPANY,2.4551815627886686,21.761390686035156,71,24.894742017326955,1,1,1,1,1,1,25.75657850082555,0.0,0.0
BA,2025-11-21,THE BOEING COMPANY,2.279755973385038,21.69550323486328,72,40.31719431197847,1,1,1,1,1,1,25.638461087055475,0.0,0.0
BA,2025-11-04,THE BOEING COMPANY,2.4134683526906024,21.455322265625,73,27.31632921539933,1,1,1,1,1,1,25.769767058439903,0.0,0.0
WWD,2026-01-27,WOODWARD HRT INC,2.335498371049767,21.35346794128418,74,22.508308530388142,1,1,1,1,1,1,23.710749373967435,9.840119704461654e-05,0.011874023928386873
ETN,2025-11-21,"EATON AEROSPACE, LLC",2.253508241171324,21.196895599365234,75,19.4085294205506,1,1,1,1,1,0,25.565123231572798,0.0,0.0
CAT,2026-04-03,CATERPILLAR INC,2.2557288403592626,21.12870979309082,76,47.929607487006585,1,1,1,1,1,1,26.535562417169352,0.0,0.0
HON,2025-11-19,HONEYWELL INTERNATIONAL INC.,2.260636945877412,21.060022354125977,77,30.80310172918146,1,1,1,1,1,1,25.6203566544308,0.0,0.0
HON,2025-11-20,HONEYWELL INTERNATIONAL INC.,2.2164220085921467,21.060022354125977,77,32.49253948161266,1,1,1,1,1,1,25.615749513866174,0.0,0.0
CAT,2026-02-23,CATERPILLAR INC,2.391510452650724,21.03813362121582,79,41.04028921695946,1,1,1,1,1,1,26.593156111588293,0.0,0.0
TXT,2025-11-13,TEXTRON AVIATION DEFENSE LLC,2.2717282733174167,20.88475799560547,80,23.748571411431918,1,1,1,1,1,1,23.399160565956453,0.0,0.0
CAT,2026-02-13,CATERPILLAR INC,2.443729542358199,20.642452239990234,81,36.78924189521409,1,1,1,1,1,1,26.592312133778545,0.0,0.0
HON,2025-11-06,HONEYWELL INTERNATIONAL INC.,2.2986379035162092,20.535518646240234,82,27.99983391463212,1,1,1,1,1,1,25.583626390876304,0.0,0.0
KTOS,2025-12-22,"KRATOS DEFENSE & ROCKET SUPPORT SERVICES, INC",2.2382686594587455,20.388601303100586,83,60.333623424384484,1,1,1,1,1,1,23.267140904316587,4.85288561958235e-07,2.2175607870123646e-05
CAT,2025-09-25,CATERPILLAR INC,2.4548518131245265,20.232614517211914,84,52.36754029003527,1,1,1,1,1,1,26.10832622028719,0.0,0.0
WWD,2025-10-28,WOODWARD HRT INC,2.390140729335346,20.080106735229492,85,53.62377748121061,1,1,1,1,1,1,23.50661766539885,0.0,0.0
GE,2025-09-02,GENERAL ELECTRIC COMPANY,2.244142473063211,20.071386337280273,86,19.218302536402998,1,1,1,1,1,0,26.39438239627611,3.712499375885202e-05,0.006873991183219884
ETN,2026-01-30,EATON CORPORATION,2.4364655814655363,20.046344757080078,87,23.601462057000823,1,1,1,1,1,1,25.641872031349024,0.0,0.0
HON,2025-12-16,HONEYWELL INTERNATIONAL INC.,2.2533762223156035,19.763763427734375,88,25.729578887717075,1,1,1,1,1,1,25.65121536128437,0.0,0.0
GE,2025-08-15,GENERAL ELECTRIC COMPANY,2.6699657403863837,19.568313598632812,89,17.944939869880105,1,1,1,1,1,0,26.37419445101802,0.0,0.0
BA,2025-10-14,THE BOEING COMPANY,2.3551114070363326,19.449586868286133,90,17.662151332580713,1,1,1,1,1,0,25.81699978540093,0.0,0.0
PSN,2025-08-22,PARSONS GOVERNMENT SERVICES INC.,2.23869719260408,19.165414810180664,91,11.864196012164596,1,1,1,0,0,0,22.851165574209908,0.0,0.0
BA,2025-10-02,THE BOEING COMPANY,2.397882030594535,19.13055992126465,92,15.968358731665667,1,1,1,1,1,0,25.815328317768113,0.0,0.0
HON,2025-10-29,HONEYWELL INTERNATIONAL INC.,2.262428364967442,19.120210647583008,93,24.97587108444126,1,1,1,1,1,1,25.608847191007836,0.0,0.0
AVAV,2026-01-29,"AEROVIRONMENT, INC",2.959713665796739,18.858291625976562,94,0.0,0,0,0,0,0,0,23.45282908008352,0.0002500704327204839,0.010176355885987542
CAT,2026-03-10,CATERPILLAR INC,2.349987022260603,18.816532135009766,95,48.8708352000941,1,1,1,1,1,1,26.518122333164364,0.0,0.0
KTOS,2026-01-27,"KRATOS DEFENSE & ROCKET SUPPORT SERVICES, INC.",2.2454764753175227,18.70827865600586,96,0.0,0,0,0,0,0,0,23.65687520610516,2.6653031997410814e-06,0.00017674283309762056
WWD,2025-09-08,WOODWARD HRT INC,2.9280729022155914,18.698863983154297,97,39.604494676011996,1,1,1,1,1,1,23.40608162341673,0.0,0.0
BA,2025-10-08,THE BOEING COMPANY,2.4697521382075975,18.59555435180664,98,11.907502973608231,1,1,1,0,0,0,25.845626778856857,0.0,0.0
BA,2025-10-07,BELL BOEING JOINT PROJECT OFFICE,2.416922282878612,18.59555435180664,98,13.673242075019143,1,1,1,1,0,0,25.83616000412655,0.0,0.0
WWD,2026-02-23,WOODWARD HRT INC,2.6298542565951863,18.4991455078125,100,11.218339602744587,1,1,1,0,0,0,23.88533029015106,0.0,0.0
PSN,2025-11-05,PARSONS GOVERNMENT SERVICES INC.,2.2974936504057033,18.38788414001465,101,4.462666487534017,0,0,0,0,0,0,22.86292218140455,0.0,0.0
AVAV,2026-01-13,"AEROVIRONMENT, INC",2.4892727306166242,18.31661033630371,102,7.970098710354234,1,1,0,0,0,0,23.641515920342172,0.0002315043166358295,0.013098456157586352
AVAV,2026-01-15,"AEROVIRONMENT, INC",2.709023793830652,18.24547576904297,103,3.7747253482512066,0,0,0,0,0,0,23.671073662701883,0.0,0.0
CACI,2025-10-31,"CACI NSS, LLC",2.3766957852905026,17.97396469116211,104,17.775011550272346,1,1,1,1,1,0,23.2438932245413,0.0,0.0
TXT,2025-08-25,TEXTRON SYSTEMS CORPORATION,2.2204547325594204,17.73029136657715,105,12.58424424979454,1,1,1,1,0,0,23.398510721526012,0.0,0.0
GE,2025-09-12,GENERAL ELECTRIC COMPANY,2.583754462589749,17.49225616455078,106,16.5519753304195,1,1,1,1,1,0,26.41722980622964,0.0,0.0
GE,2025-09-10,GENERAL ELECTRIC COMPANY,2.470791913022326,17.12662696838379,107,15.844642583676904,1,1,1,1,1,0,26.39815428423014,0.0,0.0
GE,2025-09-15,GENERAL ELECTRIC COMPANY,2.594266976061859,17.035263061523438,108,14.483335071352377,1,1,1,1,0,0,26.417691487433743,0.0,0.0
WWD,2025-08-27,WOODWARD HRT INC,3.9448388650647486,16.98316192626953,109,30.71712928362953,1,1,1,1,1,1,23.437076622998475,0.0,0.0
AVAV,2026-01-28,"AEROVIRONMENT, INC",2.956941425639882,16.904006958007812,110,0.0,0,0,0,0,0,0,23.461361044837616,2.0762990510954957e-05,0.0008657459719371608
AVAV,2025-10-27,"AEROVIRONMENT, INC",4.005977768588899,16.75841522216797,111,3.3488491582437607,0,0,0,0,0,0,23.662498553566692,0.00033583038451335054,0.019116458478679564
GE,2025-08-28,GENERAL ELECTRIC COMPANY,2.5960608945435584,16.60114860534668,112,18.95481920915696,1,1,1,1,1,0,26.387637259901528,0.0,0.0
