family,block,run,sn,auc20,auc50,prior_award_days_total,prior_transaction_count_total,days_since_last_award,prior_abs_award_mean,prior_abs_award_median,prior_abs_award_max,prior_signed_award_mean,current_to_prior_abs_mean,current_to_prior_abs_median,current_award_abs_percentile,prior_response_count_60d,prior_response_mean_60d,prior_response_median_60d,prior_max_gain_mean_60d,prior_hit_rate_10pct_within_60d,prior_hit_rate_20pct_within_60d,prior_response_count_20d,prior_response_mean_20d,prior_response_median_20d,prior_max_gain_mean_20d,prior_hit_rate_10pct_within_20d,prior_hit_rate_20pct_within_20d,prior_award_days_30d,prior_transactions_30d,prior_abs_dollars_30d,prior_signed_dollars_30d,prior_positive_dollars_30d,prior_negative_dollars_30d,award_frequency_acceleration_30d,award_dollar_acceleration_30d,pre_return_5d,pre_return_20d,pre_return_60d,pre_return_120d,relative_strength_ita_5d,relative_strength_ita_20d,relative_strength_ita_60d,relative_strength_ita_120d,relative_strength_spy_5d,relative_strength_spy_20d,relative_strength_spy_60d,relative_strength_spy_120d,same_day_award_count,transaction_amount_sum,transaction_amount_abs_sum,current_agency_count,current_award_type_count
award_30d,1,5,-3.5314842411907845,0.6414413426558994,0.6139303698558778,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
award_30d,1,6,-4.983539840156535,0.6166503263758095,0.6141691265844765,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
award_30d,1,7,-7.9187412093269804,0.5330987641580021,0.5034728251432541,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,
award_30d,1,8,-7.381552346180918,0.6909072731494622,0.7362172252127106,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,
award_30d,2,1,-32.085574164263406,0.3877551020408163,0.4548532731376975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
award_30d,2,3,-32.085574164263406,0.3877551020408163,0.4548532731376975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
award_30d,2,5,-32.085574164263406,0.3877551020408163,0.4548532731376975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
award_30d,2,7,-32.085574164263406,0.3877551020408163,0.4548532731376975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
market_momentum,1,1,-2.7307292764126094,0.4741221393740809,0.5256554957457892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
market_momentum,1,2,-7.106738196085764,0.5062308109084342,0.5998871331828443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,,
