ticker,award_date,award_abs,preaward_close,shares_known_at_award,market_cap_before,sec_cik,revenue_concept,ltm_revenue_before,ltm_revenue_method,ltm_revenue_source,award_to_market_cap,log10_award_to_market_cap,log10_market_cap_before,award_to_ltm_revenue
BA,2025-08-20,12417000.0,225.0,756158016.0,170135553600.0,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,7.298298172992808e-05,-4.1367783974471,11.230795078567523,0.0001621886388275709
BA,2025-08-21,5843497.449999999,225.6199951171875,756158016.0,170604367877.7422,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,3.425174585323362e-05,-4.465317287088294,11.231990145945911,7.632672122154154e-05
BA,2025-08-22,1192089.0,224.4600067138672,756158016.0,169727233348.1045,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,7.023557601714205e-06,-5.153442851484806,11.229751532028276,1.55708538512781e-05
BA,2025-08-25,16540818.14,230.1199951171875,756158016.0,174007078949.7422,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,9.505830590247091e-05,-4.022009929824184,11.240566916594522,0.0002160532156898601
BA,2025-08-26,134521.47999999998,226.8699951171875,756158016.0,171549565397.7422,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,7.841551780566065e-07,-6.105597985395931,11.234389622155518,1.7570955733486589e-06
BA,2025-08-27,5002481.0,234.8300018310547,756158016.0,177568588281.84668,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,2.8172105485570373e-05,-4.550180694136182,11.249366141947014,6.534151438759649e-05
BA,2025-08-29,443758.1,236.16000366210938,756158016.0,178574279827.69336,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,2.4850056818270973e-06,-5.604672613939368,11.251818907333668,5.796289136482973e-06
BA,2025-09-02,18916071.0,234.67999267578125,760926016.0,178574111861.6914,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.00010592840587470377,-3.974987563401456,11.251818498838436,0.0002470783448059666
BA,2025-09-03,995151.23,237.3800048828125,756158016.0,179496793530.2578,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,5.5441170308830455e-06,-5.256167610768134,11.254056694894542,1.2998487832913178e-05
BA,2025-09-04,38113391.97,232.3800048828125,756158016.0,175716003450.2578,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.0002169033623667024,-3.6637337156391645,11.244811316951363,0.0004978303265455401
BA,2025-09-05,1278960.0,230.75,756158016.0,174483462192.0,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,7.3299783482783265e-06,-5.134897308201592,11.241754270154109,1.6705547355634216e-05
BA,2025-09-08,1813000.0,229.61000061035156,756158016.0,173621442515.28223,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,1.0442258592802666e-05,-4.981205556094018,11.239603360189527,2.3681082563774345e-05
BA,2025-09-09,1500000.0,230.9499969482422,756158016.0,174634691487.58887,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,8.589358661916288e-06,-5.066039262244306,11.242130521299988,1.9592732402460848e-05
BA,2025-09-10,3384511.93,229.52000427246094,756158016.0,173553391062.9756,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,1.950127225559019e-05,-4.709937054506279,11.239433103778392,4.42078910382842e-05
BA,2025-09-11,19585294.0,227.52000427246094,756158016.0,172041075030.9756,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.00011384080224140493,-3.9437020524196638,11.235632147661187,0.00025581961624368137
