ticker,award_date,company,peak_pct,peak_class,MD4,MTS_signal_score
IBM,2025-12-08,INTERNATIONAL BUSINESS MACHINES CORPORATION,1.795074362359439,<10%,0.864247432467039,1.5622019472157822
IBM,2025-12-15,INTERNATIONAL BUSINESS MACHINES CORPORATION,1.966566820506621,<10%,1.3026989820523578,1.5296337027416629
IBM,2025-12-16,INTERNATIONAL BUSINESS MACHINES CORPORATION,3.8096124325280414,<10%,1.1763036825635618,1.625977103294562
IBM,2025-12-22,INTERNATIONAL BUSINESS MACHINES CORPORATION,3.943327984568912,<10%,1.2077103389390542,1.4946777609456647
IBM,2025-12-31,INTERNATIONAL BUSINESS MACHINES CORPORATION,6.252323275477822,<10%,1.5401777545847193,1.4915958816482282
IBM,2026-01-12,INTERNATIONAL BUSINESS MACHINES CORPORATION,0.8168442824940003,<10%,1.4743789825366784,2.1325397846989986
IBM,2026-01-28,INTERNATIONAL BUSINESS MACHINES CORPORATION,13.388649184748914,10-20%,2.9149853275489326,1.0894865508439366
IBM,2026-01-29,INTERNATIONAL BUSINESS MACHINES CORPORATION,7.859287323624553,<10%,2.661636035743521,0.9849291867366459
IBM,2026-01-30,INTERNATIONAL BUSINESS MACHINES CORPORATION,8.752545610827811,<10%,2.6624572138088243,0.9725095925996992
IBM,2026-02-04,INTERNATIONAL BUSINESS MACHINES CORPORATION,15.393219668502956,10-20%,2.3451302906993168,1.0810239834583444
IBM,2026-02-17,INTERNATIONAL BUSINESS MACHINES CORPORATION,28.39345507334661,20-50%,2.9066367541652727,1.1195767873680849
IBM,2026-02-23,INTERNATIONAL BUSINESS MACHINES CORPORATION,48.49032326752791,20-50%,4.513256967932131,1.683263951931816
IBM,2026-03-16,INTERNATIONAL BUSINESS MACHINES CORPORATION,33.0604349351606,20-50%,2.527886208569368,1.0546699369728583
IBM,2026-03-23,INTERNATIONAL BUSINESS MACHINES CORPORATION,33.49425786443505,20-50%,2.750115217645868,1.1205803361501314
KTOS,2025-08-14,"KRATOS SRE, INC.",52.87904220196327,>50%,5.815747982079818,4.503819423514416
KTOS,2025-08-21,"KRATOS S2, INC",63.12133399223916,>50%,6.104506426828544,3.95041988103026
KTOS,2025-09-04,"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.",88.26859715903137,>50%,9.644002651920887,3.0367753816039573
KTOS,2026-01-15,"KRATOS DEFENSE & ROCKET SUPPORT SERVICES, INC.",4.945410872548939,<10%,4.629934562647147,2.4470803301874184
KTOS,2026-02-08,"KRATOS SRE, INC.",6.942617933254813,<10%,3.764686586519837,2.2984569847657164
LDOS,2025-08-12,LEIDOS BIOMEDICAL RESEARCH INC,12.338546702924557,10-20%,2.230453582792022,2.5796974117787497
LDOS,2025-08-13,"LEIDOS, INC.",9.912119347251714,<10%,2.001450826508247,1.9499713366793678
LDOS,2025-08-14,"LEIDOS, INC.",12.074131815413946,10-20%,2.174543266568866,1.5417448926217565
LDOS,2025-08-15,"LEIDOS, INC.",12.58519094063959,10-20%,2.281981809970624,1.3415901480636352
LDOS,2025-08-18,LEIDOS BIOMEDICAL RESEARCH INC,12.2754823025661,10-20%,2.2719770337347365,1.1722869925995152
LDOS,2025-08-19,"LEIDOS, INC.",11.886019319987518,10-20%,2.244163422050827,1.1406633137318967
LDOS,2025-08-21,"LEIDOS, INC.",10.831905135291995,10-20%,2.116328954270111,1.1074838854259503
LDOS,2025-08-22,"LEIDOS, INC.",10.039117809280508,10-20%,2.032199207519734,1.0062218389857374
LDOS,2025-08-26,LEIDOS BIOMEDICAL RESEARCH INC,9.671007710380252,<10%,2.0068717161755214,0.8934386903063312
LDOS,2025-08-27,LEIDOS BIOMEDICAL RESEARCH INC,9.049065750193751,<10%,2.0328950691332444,1.1006264936158285
LDOS,2025-08-28,"LEIDOS, INC.",10.26968239741719,10-20%,2.059669291616213,0.8870184825358559
LDOS,2025-08-29,"LEIDOS, INC.",10.53784954442072,10-20%,2.094876732368089,0.8486308225826662
LDOS,2025-09-02,"LEIDOS, INC.",10.556194666428452,10-20%,2.142555592870008,0.9555250101062303
LDOS,2025-09-03,"LEIDOS, INC.",12.53451200003748,10-20%,2.286511941735893,0.8054542210622693
LDOS,2025-09-04,"LEIDOS, INC.",11.986276354150592,10-20%,2.2427871443590326,0.8667091973827455
LDOS,2025-09-08,"LEIDOS, INC.",12.092980766912254,10-20%,2.288557481657814,0.8541259690356118
LDOS,2025-09-09,"LEIDOS, INC.",11.704799936198128,10-20%,2.2577591189807946,0.8487611327127225
LDOS,2025-09-10,"LEIDOS, INC.",10.874929078853878,10-20%,2.1406522931889724,0.9625285703006319
LDOS,2025-09-15,"LEIDOS, INC.",9.204842941855794,<10%,1.9413574199843104,0.9276868525863987
LDOS,2025-09-16,LEIDOS BIOMEDICAL RESEARCH INC,9.294566325872822,<10%,1.9765228186583508,0.9221177049952425
LDOS,2025-09-17,"LEIDOS, INC.",8.569101011577306,<10%,1.8787317819696367,1.0070104848462251
LDOS,2025-09-18,"LEIDOS, INC.",6.625706560596556,<10%,1.6403616766200817,0.9750279485225387
LDOS,2025-09-22,"LEIDOS, INC.",6.217080956105603,<10%,1.624102935470224,0.9831000832085657
LDOS,2025-09-23,"LEIDOS, INC.",6.64849336821518,<10%,1.651395928019057,0.9879519593779161
LDOS,2025-09-24,"LEIDOS, INC.",6.4834634343381214,<10%,1.6264928563396586,0.8875806275143242
LDOS,2025-09-26,"LEIDOS, INC.",7.923212830579729,<10%,2.060945506155844,0.874451993579466
LDOS,2025-09-29,LEIDOS BIOMEDICAL RESEARCH INC,7.510375758759347,<10%,2.130287704543768,0.9460951378908434
LDOS,2025-09-30,"LEIDOS, INC.",5.6043577117941945,<10%,1.7342928098870347,1.009907175425143
LDOS,2025-10-09,"LEIDOS, INC.",2.834321968554221,<10%,1.7256322778704667,0.8992833563753115
LDOS,2025-10-23,"LEIDOS, INC.",4.2635567309403655,<10%,1.130043908919468,0.843155975356073
LDOS,2025-10-30,"LEIDOS, INC.",4.52021896569661,<10%,1.6942920902203142,1.340509454985371
LDOS,2025-10-31,"LEIDOS, INC.",4.7671621666812936,<10%,1.9888778753925087,1.2023350796777272
LDOS,2025-11-04,"LEIDOS, INC.",0.0,<10%,1.345659659290214,1.0254170577943387
LDOS,2025-11-21,"LEIDOS, INC.",6.595810259997115,<10%,2.010877641344108,0.7764428294368393
LDOS,2025-11-24,"LEIDOS, INC.",6.4132127891003865,<10%,2.061382674480328,0.7160161936944194
LDOS,2025-11-25,"LEIDOS, INC.",3.807069853658352,<10%,1.6048772121321715,0.7376772895698437
LDOS,2025-11-26,"LEIDOS, INC.",4.428720720749846,<10%,1.6510896389126897,0.603914564372034
LDOS,2025-12-03,"LEIDOS, INC.",5.492739680517689,<10%,1.66245727484228,0.6370456342294222
LDOS,2025-12-04,"LEIDOS, INC.",3.310742257603838,<10%,1.6939213929251071,0.6594244468468079
LDOS,2025-12-05,LEIDOS BIOMEDICAL RESEARCH INC,6.407516423811965,<10%,1.609070605261567,0.6385083023431463
LDOS,2025-12-08,"LEIDOS, INC.",7.095427303064739,<10%,1.6629887552775655,1.2164634043887939
LDOS,2025-12-09,"LEIDOS, INC.",7.483396401924991,<10%,1.7198625836068566,0.6197127821197626
LDOS,2025-12-11,"LEIDOS, INC.",4.335547342442125,<10%,1.839056640566858,0.7813167539853347
LDOS,2025-12-12,LEIDOS BIOMEDICAL RESEARCH INC,4.7754976596938725,<10%,1.9791223261242747,0.7956916968066964
LDOS,2025-12-16,"LEIDOS, INC.",8.882295216108748,<10%,1.9611779638017304,0.6993338031698298
LDOS,2025-12-18,"LEIDOS, INC.",9.465191657391102,<10%,2.0289738912543864,0.7030872433909002
LDOS,2025-12-19,"LEIDOS, INC.",7.3965752944723295,<10%,1.7166112326937035,0.6718050011659527
LDOS,2025-12-22,"LEIDOS, INC.",6.611475051514715,<10%,1.6365673846179822,0.7354234215834136
LDOS,2025-12-23,"LEIDOS, INC.",6.451262618543896,<10%,1.614559057787023,0.6799124243831456
LDOS,2025-12-29,"LEIDOS, INC.",6.927589997752315,<10%,1.6888641838070055,0.900791087831923
