ticker,award_date,company,same_day_award_count,transaction_amount_sum,transaction_amount_abs_sum,prior_abs_award_max,prior_signed_award_mean,prior_abs_award_median,prior_transactions_30d,prior_award_days_30d,pre_volatility_market_20d,relative_strength_spy_60d,relative_strength_spy_120d,prior_response_mean_20d,prior_response_count_60d,event_trading_day,peak_pct,peak_day,day90_pct,actual_winner_ge20,MTS_signal_score,predicted_buy,market_cap_before,log10_market_cap_before,sector_group,prior_response_count_60d_adj,prior_abs_award_median_adj,scaleaware8_MD,scaleaware8_buy,old11_buy
GE,2025-12-30,GENERAL ELECTRIC COMPANY,1,9799348.4,9799348.4,208399999.92,11322090.486666668,2073133.15,40,17,1.6718300867986278,2.13666727005426,13.331952691760506,3.973900085642041,27,2025-12-30,10.888734542047729,41,-3.393916267787389,0,0.938689171906834,0,329520309881.7317,11.51788218736018,INDUSTRIAL,0.9003568005792089,5.149644287131263,12.976055596765466,1,0
GE,2026-01-29,GENERAL ELECTRIC COMPANY,1,1177935.0,1177935.0,497571308.76,22201203.888214283,2708265.725,35,15,2.594212859271364,-5.212397575539118,-0.2756677533738632,4.476523000003882,42,2026-01-29,15.686278525079022,21,10.727892183840382,0,0.8066379911680399,0,307679702366.52924,11.488098846780531,INDUSTRIAL,1.092242326818122,5.2657083644145235,13.061612809174134,1,0
GE,2026-03-04,GENERAL ELECTRIC COMPANY,1,2201106.0,2201106.0,497571308.76,19386842.91116505,3066067.0,29,17,1.8768109453536157,16.15833906032682,14.534331611804928,4.283723478770163,51,2026-03-04,11.74018931359302,84,4.3779950301017,0,0.8024525976409048,0,351504696643.88983,11.545931132237486,INDUSTRIAL,1.1765632125181578,5.319598731813269,13.168185025147734,1,0
GE,2026-03-20,GENERAL ELECTRIC COMPANY,1,1350617.6,1350617.6,497571308.76,17934830.9880531,3066067.0,35,19,2.0126480195605905,-3.60424785824911,-0.960316942806838,4.221312717630271,59,2026-03-20,32.20545641384065,72,23.952221619067448,1,0.8119826919233472,0,307211332542.1564,11.487437232094328,INDUSTRIAL,1.2398450480623657,5.319598731813269,13.106025533579407,1,0
GE,2026-03-24,GENERAL ELECTRIC COMPANY,1,5417919.87,5417919.87,497571308.76,17642373.60826087,3000000.0,33,18,1.993216580906031,-2.877552617508305,-1.742886394906218,4.096556316590009,61,2026-03-24,30.458661234369977,70,27.099698596689397,1,0.8579694339213735,0,307137616604.1623,11.487333009810568,INDUSTRIAL,1.2543228714309886,5.310138345664814,13.095120278364739,1,0
GE,2026-03-27,GENERAL ELECTRIC COMPANY,1,-388962.0,388962.0,497571308.76,17477941.351709403,3000000.0,36,19,2.1870498680127306,-1.711705155553533,0.1784669399001677,3.581939970977991,64,2026-03-27,34.96523881104816,89,32.603820332834864,1,0.7584586064012192,0,300500542574.68835,11.477845260488444,INDUSTRIAL,1.2751730104041086,5.310138345664814,13.108854892188853,1,0
HII,2025-08-13,HUNTINGTON INGALLS INC,1,269000.0,269000.0,5911543.0,5911543.0,5911543.0,3,1,2.3476245323220857,8.977483756243721,47.283001725088326,,0,2025-08-13,26.114777993484275,90,26.114777993484275,1,2.1256955135202285,0,10341835700.427246,10.014597633903598,AERO_DEFENSE,,5.5475412315009445,13.91253496512819,1,0
HII,2025-08-15,HUNTINGTON INGALLS INCORPORATED,1,1057899.0,1057899.0,5911543.0,2016679.6133333333,906941.0,10,3,2.359894712663368,8.620859799804801,51.53358012691363,,0,2025-08-15,34.39937833888178,90,34.39937833888178,1,2.238317618555334,1,10320996316.845703,10.013721623068612,AERO_DEFENSE,,4.733419414004277,13.21128590253021,1,1
HII,2025-08-25,HUNTINGTON INGALLS INCORPORATED,2,138397.0,138397.0,21416392.0,5240660.454444445,2077159.0,32,9,2.133093239140606,12.55906577208199,46.036408746295535,,0,2025-08-25,32.52699505733505,85,30.40179127184841,1,1.544130822398968,0,10418242781.799316,10.017794473807678,AERO_DEFENSE,,5.093310120238129,13.516357134627928,1,0
HII,2025-09-05,HUNTINGTON INGALLS INCORPORATED,1,1216.0,1216.0,264032285.0,20429557.16,3547772.0,69,17,0.731018763902043,14.378349028841368,24.054970982257263,,0,2025-09-05,53.88258143082625,90,53.88258143082625,1,1.4740435127148406,0,10469587995.593262,10.019929591443788,AERO_DEFENSE,,5.325796080375373,13.706665415857792,1,0
