ticker,award_date,company,transaction_amount_abs_sum,peak_pct,prior_response_count_60d,pre_volatility_market_20d,relative_strength_spy_120d,prior_abs_award_max,prior_signed_award_mean,prior_abs_award_median,prior_response_mean_20d,transaction_amount_abs_sum,prior_transactions_30d,relative_strength_spy_60d,prior_award_days_30d,award_to_market_cap,log10_award_to_market_cap,log10_market_cap_before,award_to_ltm_revenue,market_cap_before,ltm_revenue_before
LDOS,2025-12-22,"LEIDOS, INC.",12508308.750000002,6.611475051514715,26,1.4497304332384804,3.902153589659262,692696416.59,39361343.7864045,15351141.77,1.731766688305181,12508308.750000002,214,-2.937431337635621,19,0.0005310897747295639,-3.2748320601347625,10.372030652786117,0.0007420686254152825,23552155106.67543,16856000000.0
LDOS,2025-12-23,"LEIDOS, INC.",993560.49,6.451262618543896,27,1.4496138035308617,3.0830149143445507,692696416.59,39774301.759444445,16398849.29,1.648004630880808,993560.49,232,-3.354138656270922,20,4.187715599664014e-05,-4.378022820233539,10.3752171332229,5.894402527289986e-05,23725596124.047073,16856000000.0
LDOS,2025-12-29,"LEIDOS, INC.",60000.0,6.927589997752315,33,1.3183422009607342,4.007473865106537,692696416.59,39996529.93648352,17446556.810000002,1.4937754743670166,60000.0,187,-6.705493411547225,17,2.5313635329863503e-06,-5.596645480668416,10.37479673105206,3.559563360227812e-06,23702640580.120712,16856000000.0
LDOS,2025-12-30,"LEIDOS, INC.",358031.01,8.175606451276396,34,1.3068234595993216,2.578811668445269,692696416.59,39942474.90206522,17447772.78,1.4407828174464952,358031.01,197,-9.003415570596886,18,1.5135240864210375e-05,-4.820010663233005,10.373931306884256,2.124056775035596e-05,23655455054.344055,16856000000.0
LDOS,2025-12-31,"LEIDOS, INC.",920460.0,9.944560652188382,35,1.3431110256705323,1.843991900460896,692696416.59,39591406.0772043,17446556.810000002,1.391701449538417,920460.0,202,-10.53551172051128,19,3.936526446814486e-05,-4.404886826486153,10.368891746803937,5.4607261509254864e-05,23382543276.061417,16856000000.0
LDOS,2026-01-07,"LEIDOS, INC.",319168.6,0.8799163517704045,42,1.863840336948437,10.944645558660438,692696416.59,38119295.14051546,14951281.79,1.17722820066694,319168.6,172,-1.110026975365952,18,1.2671915126604616e-05,-4.897157744543306,10.401177903169646,1.893501423825344e-05,25187084731.171158,16856000000.0
LDOS,2026-01-08,"LEIDOS, INC.",803037.0,1.5981917020126746,43,1.8720380418789608,10.142920820832613,692696416.59,37790838.64520408,14926107.69,1.1855489857634522,803037.0,170,0.92984452095366,18,3.202721564203144e-05,-4.494480816061857,10.399216371957769,4.7641018035121024e-05,25073581449.463287,16856000000.0
LDOS,2026-01-09,"LEIDOS, INC.",5056813.0,0.0,43,1.8633268995380503,12.923252406585362,692696416.59,37733149.13727273,14951281.79,1.2459455768521157,5056813.0,169,1.034133526968373,18,0.0002031149015321213,-3.6922582133959327,10.396135107196617,0.0003000007712387281,24896317118.31984,16856000000.0
LDOS,2026-01-13,"LEIDOS, INC.",633562.48,0.0,44,1.8817205558191563,10.067617545354413,692696416.59,37272282.20633663,14951281.79,1.362760689805237,633562.48,154,1.1794647802960911,17,2.5398600604644492e-05,-4.595190211192002,10.396979661321033,3.7586763170384434e-05,24944779039.682373,16856000000.0
LDOS,2026-01-15,"LEIDOS, INC.",330235.85,0.7033547008801433,45,1.8830642491603475,9.693957140105482,692696416.59,37117381.66893204,14951281.79,1.431848080660172,330235.85,163,-1.686818047627825,18,1.3570301671439328e-05,-4.8674104977503445,10.386234715714203,1.9591590531561462e-05,24335188560.695694,16856000000.0
LDOS,2026-01-16,"LEIDOS, INC.",0.06,0.01027319119693,46,1.876196451921428,12.74913017622963,692696416.59,36877173.68759616,14926107.69,1.4566860274816769,0.06,165,-2.31267169606606,18,2.433177727641057e-12,-11.613826167553048,10.39197741793669,3.5595633602278118e-12,24659111136.188736,16856000000.0
LDOS,2026-01-20,"LEIDOS, INC.",81669.32,1.990358805057868,46,1.9445745550239664,11.462659772614693,692696416.59,36169203.572735846,14286918.28,1.5247565119919746,81669.32,131,-0.2342902988807349,17,3.2891387699625656e-06,-5.4829178030884504,10.394976742643193,4.845118652112008e-06,24830001320.050568,16856000000.0
LDOS,2026-01-21,"LEIDOS, INC.",5104924.11,1.3533217843865852,47,1.908045889392063,11.17532909938983,692696416.59,35860616.19700935,13672902.97,1.5917769338092478,5104924.11,141,-1.7225353565829549,18,0.0002096655383755398,-3.678472946374213,10.386462236606503,0.0003028550136449929,24347940770.58281,16856000000.0
LDOS,2026-01-22,"LEIDOS, INC.",237900.0,0.6565033611943605,47,1.9074359853133784,12.084133412609209,692696416.59,35856890.168148145,14286918.28,1.6347118738950457,237900.0,140,0.0359348977395646,18,9.709817623014033e-06,-5.012788927255999,10.389183369293265,1.4113668723303274e-05,24500975119.87596,16856000000.0
LDOS,2026-01-26,"LEIDOS, INC.",1003973.87,2.7546203851839923,49,1.9458274661083743,7.880364344534874,692696416.59,35486187.49063636,14926107.69,1.6874027289879052,1003973.87,154,0.0058678610182605,19,4.1167607559415444e-05,-4.3854443711354945,10.387166780894209,5.9561810037968676e-05,24387471838.16809,16856000000.0
LDOS,2026-01-27,"LEIDOS, INC.",1657046.73,4.044887399273378,50,1.965860173632057,-2.6883124070868902,692696416.59,35244307.26225225,14900933.59,1.6978185498132592,1657046.73,167,-1.7881919379121758,20,6.856693297406623e-05,-4.163885276263497,10.383220032295975,9.830604710488846e-05,24166849210.343674,16856000000.0
LDOS,2026-01-28,"LEIDOS, INC.",30609942.06,3.701333185960953,50,1.965864437387568,-2.439136055766866,692696416.59,35064282.540714286,14926107.69,1.6978185498132592,30609942.06,179,-4.021969577497075,21,0.0012825133539382735,-2.891938104179881,10.377800611724092,0.0018159671369245372,23867152701.377045,16856000000.0
LDOS,2026-01-29,"LEIDOS, INC.",1244835.5,4.022652282203398,51,1.9469674293147063,-3.1257044377741794,692696416.59,35438816.70681416,14951281.79,1.6978185498132592,1244835.5,193,-3.555924644562103,21,5.198462894548025e-05,-4.284125051576595,10.379237016532514,7.385118058851447e-05,23946222667.195374,16856000000.0
LDOS,2026-01-30,"LEIDOS, INC.",4812290.89,3.4204453973062376,52,1.9056921680061365,-2.072061548889769,692696416.59,36227237.968771935,15130223.6,1.6978185498132592,4812290.89,203,-3.811464918132335,21,0.00020158510443700535,-3.6955415620073357,10.377893433398242,0.00028549423884670144,23872254368.396667,16856000000.0
LDOS,2026-02-06,"LEIDOS, INC.",14081361.45,0.8964212985227205,57,1.4361984536942414,1.1833468470668906,692696416.59,35739013.17092437,15309165.41,1.7335151665855209,14081361.45,253,-3.394789952891697,22,0.0005933816853586521,-3.2266658622497513,10.375310508649461,0.0008353916379924062,23730697791.066696,16856000000.0
LDOS,2026-02-10,"LEIDOS, INC.",98931.6,0.0,58,1.3660094666494755,0.6295692016801127,692696416.59,35432625.29760331,15309165.41,1.6204210843504605,98931.6,241,-0.4683165584781656,21,3.986814544228313e-06,-5.399373966066113,10.394708998953814,5.869221642145231e-06,24814698276.65364,16856000000.0
LDOS,2026-02-18,"LEIDOS, INC.",52865.9,5.31685012040326,63,3.698917667236014,-12.499697526318387,692696416.59,34717402.20214286,14926107.69,1.227808511659128,52865.9,230,-13.000430688103648,21,2.566324980048526e-06,-5.590688348699532,10.313863978824308,3.0903080610276495e-06,20599846243.557343,17107000000.0
LDOS,2026-02-19,"LEIDOS, INC.",249917.0,2.4848169860953284,63,3.7624332244232894,-9.91460243546497,692696416.59,34438965.536535434,14951281.79,1.131166898239113,249917.0,239,-10.048239644293178,21,1.1424703176888371e-05,-4.9421550744365845,10.339950873400493,1.4609048927339685e-05,21875141623.42267,17107000000.0
